validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
MLP_seq,9546.996,238119819.381,15431.132,0.16,6.67,33.33,46.67,5.0,8.01,9.81,5.0,11.05,13.36
MLP_seq,9183.375,222529415.84,14917.42,0.16,3.33,23.33,56.67,2.16,4.33,6.3,2.16,6.57,10.17
MLP_seq,9695.48,234699020.233,15319.89,0.16,0.0,23.33,50.0,2.04,5.45,7.53,2.04,8.87,11.61
MLP_seq,9518.724,234216827.46,15304.144,0.16,6.67,30.0,53.33,4.47,7.05,8.7,4.47,9.69,11.98
MLP_seq,9637.233,235404953.497,15342.912,0.16,3.33,23.33,50.0,4.31,7.03,8.44,4.31,9.8,11.25
MLP_seq,9584.766,236447301.567,15376.843,0.17,13.33,26.67,60.0,2.31,5.54,7.42,2.31,8.81,11.12
MLP_seq,10082.041,262279454.281,16195.044,0.17,16.67,33.33,46.67,5.36,8.08,9.53,5.36,10.86,12.42
MLP_seq,10265.204,260137365.409,16128.774,0.17,10.0,23.33,43.33,5.7,8.17,9.22,5.7,10.69,11.35
MLP_seq,10169.551,258986610.67,16093.061,0.18,13.33,30.0,46.67,5.36,7.47,8.4,5.36,9.64,10.28
MLP_seq,10187.209,271303664.908,16471.298,0.18,13.33,33.33,46.67,5.33,8.27,9.36,5.33,11.25,11.57
MLP_seq,9898.288,252946501.767,15904.292,0.18,10.0,26.67,60.0,3.34,6.07,7.23,3.34,8.86,9.55
MLP_seq,7596.507,189408679.476,13762.583,0.13,16.67,36.67,60.0,0.5,2.73,4.57,0.5,6.0,8.19
MLP_seq,7950.371,212476118.711,14576.561,0.13,16.67,43.33,60.0,1.5,4.9,7.37,1.5,8.33,12.14
MLP_seq,8940.908,226149633.605,15038.272,0.15,3.33,30.0,50.0,5.1,7.57,9.52,5.1,10.1,13.35
MLP_seq,9440.174,238575048.939,15445.875,0.15,3.33,26.67,53.33,5.59,7.91,9.82,5.59,10.3,13.57
MLP_seq,9207.781,227843113.556,15094.473,0.15,13.33,23.33,60.0,3.85,6.45,8.61,3.85,9.1,12.84
MLP_seq,9400.787,238302135.601,15437.038,0.15,6.67,30.0,46.67,4.79,7.07,9.11,4.79,9.4,13.1
MLP_seq,9240.055,224042462.051,14968.048,0.16,10.0,20.0,60.0,2.75,5.63,7.55,2.75,8.55,11.33
MLP_seq,9474.047,235877090.963,15358.291,0.16,20.0,30.0,56.67,3.65,6.65,8.57,3.65,9.7,12.34
MLP_seq,9731.026,240801163.077,15517.769,0.16,10.0,26.67,56.67,3.64,6.52,8.19,3.64,9.44,11.5
MLP_seq,9483.667,239156578.963,15464.688,0.16,3.33,30.0,56.67,3.38,6.25,7.67,3.38,9.17,10.51
MLP_seq,9719.62,240380875.097,15504.221,0.17,10.0,20.0,60.0,2.72,5.61,7.27,2.72,8.54,10.57
MLP_seq,9782.978,246406685.125,15697.346,0.17,6.67,23.33,60.0,2.12,5.04,6.72,2.12,8.01,10.06
MLP_seq,9918.107,251260270.153,15851.191,0.18,6.67,26.67,53.33,2.4,5.37,6.74,2.4,8.38,9.48
MLP_seq,9926.554,253111133.741,15909.467,0.18,10.0,26.67,56.67,3.06,6.02,7.31,3.06,9.03,9.88
MLP_seq,9801.29,247387106.878,15728.544,0.18,10.0,20.0,60.0,1.69,4.8,5.87,1.69,7.94,8.05
MLP_seq,8231.608,219600381.237,14818.92,0.13,13.33,30.0,70.0,4.28,8.09,9.41,4.28,11.89,12.06
MLP_seq,10164.718,255041398.709,15970.016,0.17,6.67,26.67,43.33,4.87,9.09,10.23,4.87,13.24,12.54
MLP_seq,9105.571,225992837.13,15033.058,0.15,3.33,20.0,66.67,1.77,5.59,7.33,1.77,9.39,10.78
MLP_seq,9761.799,245827633.643,15678.891,0.17,10.0,23.33,60.0,2.61,5.7,7.8,2.61,8.84,11.9
MLP_seq,9298.692,231804584.608,15225.13,0.16,10.0,20.0,60.0,0.27,4.09,5.66,0.27,8.4,8.77
MLP_seq,9904.303,256308007.365,16009.622,0.17,10.0,30.0,50.0,2.67,6.7,8.21,2.67,10.7,11.21
MLP_seq,10135.923,260606267.297,16143.304,0.18,3.33,26.67,56.67,2.32,6.66,7.91,2.32,10.94,10.41
MLP_seq,10450.699,275236347.566,16590.249,0.19,13.33,26.67,53.33,1.99,5.81,7.52,1.99,9.61,10.92
MLP_seq,10836.788,290988271.823,17058.378,0.2,10.0,26.67,46.67,2.65,7.2,8.5,2.65,11.66,11.11
MLP_seq,10427.082,269999075.273,16431.649,0.2,13.33,23.33,53.33,0.49,4.36,5.74,0.49,9.11,8.5
MLP_seq,10409.205,279497720.696,16718.185,0.2,10.0,26.67,60.0,0.46,3.82,5.61,0.46,8.05,9.14
MLP_seq,10661.735,290298431.025,17038.146,0.21,10.0,23.33,56.67,0.78,4.11,5.93,0.78,8.88,9.52
MLP_seq,10877.008,296078196.726,17206.923,0.22,10.0,23.33,53.33,0.14,4.67,6.18,0.14,9.38,9.17
MLP_seq,10858.496,312955903.699,17690.56,0.22,10.0,30.0,50.0,0.29,5.01,6.58,0.29,10.14,9.69
MLP_seq,10917.943,303908230.808,17432.964,0.23,6.67,23.33,60.0,1.39,3.01,5.12,1.39,7.35,9.26
MLP_seq,8113.902,205519997.093,14335.969,0.14,16.67,36.67,60.0,2.07,5.64,7.58,2.07,9.22,11.41
MLP_seq,9048.66,238650466.301,15448.316,0.15,13.33,33.33,56.67,2.79,7.05,8.52,2.79,11.26,11.45
MLP_seq,9210.428,223859028.875,14961.919,0.15,10.0,23.33,56.67,3.2,6.03,8.53,3.2,8.9,13.36
MLP_seq,9323.732,233114379.469,15268.084,0.16,13.33,23.33,60.0,2.44,5.43,8.0,2.44,8.46,12.96
MLP_seq,9337.509,227014866.828,15067.013,0.16,3.33,23.33,60.0,0.72,3.95,6.58,0.72,7.22,11.65
MLP_seq,9458.202,230682252.429,15188.227,0.16,6.67,30.0,60.0,0.37,3.81,6.58,0.37,7.27,11.9
MLP_seq,9661.029,241644760.049,15544.927,0.17,10.0,23.33,60.0,1.59,5.17,7.72,1.59,8.75,12.65
MLP_seq,9510.633,236836592.668,15389.496,0.17,10.0,26.67,60.0,0.5,4.08,6.55,0.5,7.67,11.34
MLP_seq,9744.009,254725732.216,15960.129,0.17,10.0,33.33,60.0,1.37,5.34,7.66,1.37,9.3,12.16
MLP_seq,9831.171,245077578.079,15654.954,0.18,3.33,26.67,56.67,0.32,3.96,6.3,0.32,8.2,10.84
MLP_seq,10005.68,251368595.363,15854.608,0.18,3.33,33.33,56.67,0.35,3.64,6.02,0.35,7.6,10.64
MLP_seq,10118.839,249989114.974,15811.044,0.19,6.67,23.33,60.0,0.75,3.39,5.71,0.75,7.5,10.23
MLP_seq,10100.051,255747076.745,15992.094,0.18,10.0,30.0,46.67,0.94,5.3,7.29,0.94,9.6,11.21
MLP_seq,10079.33,267017539.568,16340.671,0.19,6.67,26.67,60.0,1.2,3.58,6.2,1.2,8.28,11.24
MLP_seq,10232.457,257252964.953,16039.107,0.19,3.33,23.33,56.67,1.66,3.0,5.29,1.66,7.57,9.76
MLP_seq,7599.847,189757332.442,13775.243,0.13,16.67,40.0,63.33,0.0,3.29,5.67,0.0,6.61,10.28
MLP_seq,8314.872,210831147.25,14520.026,0.14,10.0,33.33,60.0,0.87,4.02,5.41,0.87,7.22,8.19
MLP_seq,8705.589,224906703.016,14996.89,0.14,13.33,23.33,60.0,3.86,7.49,9.71,3.86,11.13,14.04
MLP_seq,8903.136,214818030.785,14656.672,0.15,6.67,30.0,60.0,2.87,5.43,7.87,2.87,8.06,12.59
MLP_seq,9121.645,225028090.81,15000.936,0.15,13.33,26.67,56.67,2.13,5.26,7.86,2.13,8.43,12.87
MLP_seq,9386.562,233022625.861,15265.079,0.16,6.67,30.0,53.33,2.43,5.11,7.61,2.43,7.85,12.44
MLP_seq,9393.582,226342570.45,15044.686,0.16,6.67,26.67,56.67,0.85,4.3,6.9,0.85,7.76,11.9
MLP_seq,9551.241,232274121.291,15240.542,0.17,0.0,16.67,60.0,0.17,3.53,6.01,0.17,7.23,10.8
MLP_seq,9648.527,238841210.907,15454.488,0.17,6.67,26.67,60.0,0.08,3.6,6.31,0.08,7.15,11.51
MLP_seq,9843.88,244947850.906,15650.81,0.17,6.67,33.33,50.0,1.66,5.7,7.94,1.66,9.71,12.3
MLP_seq,9847.888,252910926.753,15903.173,0.17,13.33,26.67,56.67,0.9,5.22,7.31,0.9,9.49,11.39
MLP_seq,9838.531,247547994.849,15733.658,0.18,6.67,30.0,60.0,0.34,4.29,6.7,0.34,8.22,11.38
MLP_seq,10273.616,264720422.36,16270.231,0.18,13.33,30.0,50.0,1.63,5.46,7.54,1.63,9.27,11.63
MLP_seq,10042.302,259241844.444,16100.989,0.18,10.0,26.67,60.0,0.16,3.68,6.13,0.16,7.52,10.86
MLP_seq,10101.281,266384739.82,16321.297,0.18,6.67,26.67,60.0,0.85,3.83,6.26,0.85,8.43,10.95
MLP_seq,7777.246,200760263.571,14168.99,0.13,10.0,43.33,66.67,0.67,4.45,6.48,0.67,8.22,10.47
MLP_seq,7452.203,204766445.752,14309.663,0.13,30.0,50.0,66.67,0.82,4.98,7.19,0.82,9.1,11.51
MLP_seq,8900.284,216273639.277,14706.245,0.15,3.33,26.67,60.0,2.08,4.75,7.52,2.08,7.48,12.82
MLP_seq,9056.852,231826322.805,15225.844,0.15,10.0,30.0,56.67,3.24,5.94,8.65,3.24,8.69,13.84
MLP_seq,9179.426,223186636.914,14939.432,0.16,10.0,23.33,60.0,1.7,4.9,7.34,1.7,8.15,12.07
MLP_seq,9311.755,233237494.856,15272.115,0.16,3.33,33.33,56.67,1.11,4.58,7.17,1.11,8.08,12.14
MLP_seq,9473.718,239125307.839,15463.677,0.16,6.67,26.67,60.0,1.2,4.55,7.2,1.2,7.93,12.29
MLP_seq,9402.621,244110680.148,15624.042,0.16,13.33,30.0,60.0,0.71,4.69,7.39,0.71,8.65,12.58
MLP_seq,9711.65,241760316.593,15548.644,0.17,3.33,33.33,60.0,0.25,3.77,6.39,0.25,7.77,11.43
MLP_seq,9885.96,242490640.05,15572.111,0.17,10.0,26.67,50.0,0.21,4.63,7.18,0.21,8.98,12.1
MLP_seq,9647.114,242883280.506,15584.713,0.18,13.33,30.0,56.67,0.24,3.49,5.96,0.24,7.23,10.74
MLP_seq,9946.087,260375189.458,16136.145,0.18,16.67,23.33,60.0,0.24,4.27,6.72,0.24,8.72,11.46
MLP_seq,10195.658,263299462.809,16226.505,0.19,13.33,26.67,56.67,0.33,4.6,7.05,0.33,8.82,11.8
MLP_seq,10077.28,258587365.277,16080.652,0.18,20.0,23.33,53.33,0.42,4.73,7.04,0.42,8.99,11.53
MLP_seq,9911.868,264524887.308,16264.221,0.19,13.33,30.0,56.67,1.44,3.24,5.93,1.44,7.83,11.1
MLP_seq,7503.119,188782899.719,13739.829,0.13,13.33,40.0,63.33,0.61,4.3,6.56,0.61,7.99,10.96
MLP_seq,8556.8,230661601.859,15187.548,0.15,13.33,40.0,60.0,0.24,4.52,6.41,0.24,8.75,10.14
MLP_seq,9128.518,220990441.002,14865.747,0.16,6.67,33.33,56.67,1.72,4.31,6.97,1.72,6.97,12.09
MLP_seq,9706.965,239862573.302,15487.497,0.17,10.0,23.33,53.33,1.19,3.89,6.74,1.19,6.65,12.19
MLP_seq,9392.264,222029157.258,14900.643,0.17,10.0,20.0,60.0,1.02,2.9,5.32,1.02,6.81,10.01
MLP_seq,9476.049,225271139.957,15009.035,0.17,6.67,20.0,60.0,1.07,2.8,5.32,1.07,6.67,10.19
MLP_seq,9605.67,228990264.425,15132.424,0.17,6.67,20.0,60.0,1.11,2.73,5.25,1.11,6.57,10.13
MLP_seq,9519.486,230208834.367,15172.634,0.17,3.33,20.0,60.0,0.71,3.0,5.52,0.71,6.73,10.38
MLP_seq,9583.445,233229315.837,15271.847,0.17,3.33,20.0,60.0,0.76,2.93,5.49,0.76,6.63,10.45
MLP_seq,9556.442,231135755.832,15203.15,0.17,6.67,20.0,60.0,0.81,2.86,5.49,0.81,6.53,10.56
MLP_seq,9649.231,234719043.926,15320.543,0.17,6.67,23.33,60.0,0.86,2.78,5.41,0.86,6.43,10.49
MLP_seq,9547.807,232197971.878,15238.044,0.17,6.67,23.33,60.0,1.1,2.66,5.46,1.1,6.43,10.82
MLP_seq,9556.598,233957707.189,15295.676,0.17,3.33,23.33,60.0,0.7,2.86,5.67,0.7,6.43,11.06
MLP_seq,9566.794,231808945.274,15225.273,0.17,3.33,23.33,60.0,0.75,2.83,5.56,0.75,6.43,10.8
MLP_seq,9539.307,233433454.19,15278.529,0.17,6.67,23.33,60.0,0.99,2.72,5.51,0.99,6.43,10.86
MLP_seq,7896.65,214101785.203,14632.217,0.13,20.0,40.0,63.33,1.11,4.97,7.38,1.11,8.81,12.06
MLP_seq,8877.714,227005208.594,15066.692,0.16,10.0,30.0,60.0,1.91,3.21,6.38,1.91,8.21,12.39
MLP_seq,9051.379,215302565.067,14673.192,0.16,6.67,23.33,50.0,1.23,3.87,6.15,1.23,6.56,10.61
MLP_seq,8705.178,215131226.967,14667.352,0.15,10.0,30.0,53.33,2.85,4.6,6.72,2.85,6.43,10.86
MLP_seq,8974.816,213959989.84,14627.371,0.15,10.0,23.33,50.0,2.78,4.65,6.47,2.78,6.59,10.06
MLP_seq,8987.207,217885754.865,14760.954,0.15,10.0,26.67,50.0,2.7,4.53,6.5,2.7,6.43,10.37
MLP_seq,8999.598,214179385.48,14634.869,0.15,6.67,23.33,50.0,2.63,4.57,6.53,2.63,6.59,10.37
MLP_seq,9011.99,218325859.007,14775.854,0.15,6.67,26.67,50.0,2.55,4.45,6.56,2.55,6.43,10.67
MLP_seq,9026.392,214679591.004,14651.948,0.15,6.67,23.33,50.0,2.55,4.53,6.58,2.55,6.59,10.59
MLP_seq,8776.071,214773703.476,14655.16,0.15,6.67,30.0,53.33,2.55,4.47,6.58,2.55,6.46,10.7
MLP_seq,8864.361,211812346.528,14553.774,0.15,6.67,26.67,53.33,2.55,4.47,6.51,2.55,6.46,10.51
MLP_seq,8935.665,216440130.477,14711.904,0.15,6.67,26.67,50.0,2.55,4.47,6.55,2.55,6.46,10.63
MLP_seq,9031.403,213827725.289,14622.849,0.16,6.67,26.67,46.67,2.55,4.47,6.34,2.55,6.46,10.03
MLP_seq,9062.101,217968303.992,14763.75,0.16,6.67,26.67,50.0,2.55,4.47,6.45,2.55,6.46,10.33
MLP_seq,8910.503,212791836.154,14587.386,0.15,6.67,26.67,53.33,2.55,4.47,6.63,2.55,6.46,10.85
MLP_seq,7249.664,201238169.961,14185.844,0.12,20.0,43.33,73.33,0.45,5.36,6.18,0.45,10.94,7.85
MLP_seq,7600.927,185248013.694,13610.585,0.13,16.67,33.33,66.67,0.11,5.28,6.51,0.11,10.5,8.98
MLP_seq,8279.982,200323480.513,14153.568,0.14,13.33,33.33,63.33,1.65,4.18,5.95,1.65,9.77,9.45
MLP_seq,8943.479,239904124.101,15488.839,0.15,23.33,33.33,56.67,1.35,7.01,9.08,1.35,12.44,13.13
MLP_seq,8787.764,238089030.948,15430.134,0.15,13.33,40.0,60.0,0.88,6.03,8.08,0.88,11.02,12.09
MLP_seq,10216.126,253920814.071,15934.893,0.17,6.67,20.0,53.33,0.12,4.47,7.58,0.12,8.77,13.46
