Data,Hora,kWh fornecido
16/10/2023,16,872.28
16/10/2023,17,872.64
16/10/2023,18,873.72
16/10/2023,19,874.08
16/10/2023,20,874.08
16/10/2023,21,873.72
16/10/2023,22,873.36
16/10/2023,23,874.08
16/10/2023,24,874.08
17/10/2023,1,874.08
17/10/2023,2,874.08
17/10/2023,3,874.08
17/10/2023,4,873.36
17/10/2023,5,873.36
17/10/2023,6,874.08
17/10/2023,7,874.8
17/10/2023,8,872.28
17/10/2023,9,873.72
17/10/2023,10,874.08
17/10/2023,11,874.8
17/10/2023,12,874.8
17/10/2023,13,874.08
17/10/2023,14,874.44
17/10/2023,15,873
17/10/2023,16,871.92
17/10/2023,17,873
17/10/2023,18,872.64
17/10/2023,19,874.08
17/10/2023,20,874.44
17/10/2023,21,874.08
17/10/2023,22,874.44
17/10/2023,23,874.8
17/10/2023,24,874.44
18/10/2023,1,874.08
18/10/2023,2,874.08
18/10/2023,3,874.44
18/10/2023,4,874.08
18/10/2023,5,874.08
18/10/2023,6,873.72
18/10/2023,7,873.72
18/10/2023,8,872.64
18/10/2023,9,872.28
18/10/2023,10,873
18/10/2023,11,872.64
18/10/2023,12,872.64
18/10/2023,13,873.36
18/10/2023,14,872.28
18/10/2023,15,872.64
18/10/2023,16,873
18/10/2023,17,871.92
18/10/2023,18,873
18/10/2023,19,873.36
18/10/2023,20,873.72
18/10/2023,21,873.36
18/10/2023,22,873
18/10/2023,23,874.44
18/10/2023,24,874.08
19/10/2023,1,873.72
19/10/2023,2,874.08
19/10/2023,3,874.08
19/10/2023,4,873.72
19/10/2023,5,873.72
19/10/2023,6,874.08
19/10/2023,7,874.08
19/10/2023,8,872.28
19/10/2023,9,872.64
19/10/2023,10,873
19/10/2023,11,873
19/10/2023,12,873
19/10/2023,13,873
19/10/2023,14,872.28
19/10/2023,15,873
19/10/2023,16,872.28
19/10/2023,17,872.64
19/10/2023,18,874.44
19/10/2023,19,873
19/10/2023,20,873.36
19/10/2023,21,872.28
19/10/2023,22,871.92
19/10/2023,23,871.92
19/10/2023,24,872.64
20/10/2023,1,873.72
20/10/2023,2,874.44
20/10/2023,3,873.72
20/10/2023,4,873.72
20/10/2023,5,873.36
20/10/2023,6,873.36
20/10/2023,7,873.72
20/10/2023,8,872.64
20/10/2023,9,871.92
20/10/2023,10,873.72
20/10/2023,11,872.64
20/10/2023,12,873
20/10/2023,13,873.36
20/10/2023,14,871.92
20/10/2023,15,872.28
20/10/2023,16,872.64
20/10/2023,17,872.28
20/10/2023,18,873
20/10/2023,19,873.36
20/10/2023,20,873.72
20/10/2023,21,873.36
20/10/2023,22,873
20/10/2023,23,873.72
20/10/2023,24,873.72
21/10/2023,1,872.28
21/10/2023,2,870.12
21/10/2023,3,869.4
21/10/2023,4,869.4
21/10/2023,5,869.04
21/10/2023,6,870.48
21/10/2023,7,870.84
21/10/2023,8,870.48
21/10/2023,9,868.32
21/10/2023,10,869.4
21/10/2023,11,869.04
21/10/2023,12,870.84
21/10/2023,13,869.76
21/10/2023,14,867.96
21/10/2023,15,869.04
21/10/2023,16,869.4
21/10/2023,17,868.68
21/10/2023,18,870.84
21/10/2023,19,871.56
21/10/2023,20,871.2
21/10/2023,21,871.56
21/10/2023,22,871.2
21/10/2023,23,871.2
21/10/2023,24,871.2
22/10/2023,1,870.84
22/10/2023,2,871.56
22/10/2023,3,870.84
22/10/2023,4,569.88
22/10/2023,5,3.24
22/10/2023,6,3.6
22/10/2023,7,2.88
22/10/2023,8,2.16
22/10/2023,9,2.52
22/10/2023,10,2.16
22/10/2023,11,2.16
22/10/2023,12,1.8
22/10/2023,13,2.52
22/10/2023,14,258.48
22/10/2023,15,870.48
22/10/2023,16,872.28
22/10/2023,17,871.56
22/10/2023,18,873.36
22/10/2023,19,874.8
22/10/2023,20,874.8
22/10/2023,21,874.44
22/10/2023,22,874.8
22/10/2023,23,875.16
22/10/2023,24,875.16
23/10/2023,1,874.8
23/10/2023,2,875.88
23/10/2023,3,875.52
23/10/2023,4,874.08
23/10/2023,5,873.72
23/10/2023,6,874.44
23/10/2023,7,874.44
23/10/2023,8,873.72
23/10/2023,9,873.36
23/10/2023,10,874.08
23/10/2023,11,873.36
23/10/2023,12,873.72
23/10/2023,13,873
23/10/2023,14,873.36
23/10/2023,15,873.36
23/10/2023,16,873.72
23/10/2023,17,873
23/10/2023,18,874.44
23/10/2023,19,874.08
23/10/2023,20,874.44
23/10/2023,21,873.72
23/10/2023,22,874.08
23/10/2023,23,874.08
23/10/2023,24,874.44
24/10/2023,1,874.44
24/10/2023,2,874.08
24/10/2023,3,874.08
24/10/2023,4,873.72
24/10/2023,5,873.72
24/10/2023,6,874.44
24/10/2023,7,875.52
24/10/2023,8,873.72
24/10/2023,9,874.8
24/10/2023,10,874.08
24/10/2023,11,874.08
24/10/2023,12,874.08
24/10/2023,13,874.08
24/10/2023,14,873.36
24/10/2023,15,873.36
24/10/2023,16,873.72
24/10/2023,17,872.28
24/10/2023,18,875.52
24/10/2023,19,875.52
24/10/2023,20,875.16
24/10/2023,21,874.8
24/10/2023,22,874.08
24/10/2023,23,874.8
24/10/2023,24,875.16
25/10/2023,1,874.8
25/10/2023,2,874.44
25/10/2023,3,874.08
25/10/2023,4,874.44
25/10/2023,5,873
25/10/2023,6,874.08
25/10/2023,7,874.44
25/10/2023,8,874.08
25/10/2023,9,874.44
25/10/2023,10,873.36
25/10/2023,11,874.08
25/10/2023,12,874.08
25/10/2023,13,874.08
25/10/2023,14,873.36
25/10/2023,15,873
25/10/2023,16,874.08
25/10/2023,17,873.36
25/10/2023,18,875.16
25/10/2023,19,874.08
25/10/2023,20,874.44
25/10/2023,21,873.72
25/10/2023,22,873.72
25/10/2023,23,874.08
25/10/2023,24,873.36
26/10/2023,1,873.72
26/10/2023,2,873.72
26/10/2023,3,874.44
26/10/2023,4,873
26/10/2023,5,872.28
26/10/2023,6,873.72
26/10/2023,7,873.72
26/10/2023,8,873.36
26/10/2023,9,873.36
26/10/2023,10,873.72
26/10/2023,11,875.52
26/10/2023,12,873.72
26/10/2023,13,874.44
26/10/2023,14,873
26/10/2023,15,337.32
26/10/2023,16,5.4
26/10/2023,17,5.76
26/10/2023,18,6.48
26/10/2023,19,6.84
26/10/2023,20,6.84
26/10/2023,21,6.48
26/10/2023,22,6.48
26/10/2023,23,6.12
26/10/2023,24,6.48
27/10/2023,1,6.12
27/10/2023,2,6.12
27/10/2023,3,6.48
27/10/2023,4,6.48
27/10/2023,5,6.48
27/10/2023,6,244.44
27/10/2023,7,861.84
27/10/2023,8,868.68
27/10/2023,9,870.84
27/10/2023,10,871.2
27/10/2023,11,870.48
27/10/2023,12,870.84
27/10/2023,13,871.2
27/10/2023,14,870.84
27/10/2023,15,871.92
27/10/2023,16,871.56
27/10/2023,17,871.2
27/10/2023,18,872.28
27/10/2023,19,873
27/10/2023,20,872.28
27/10/2023,21,872.28
27/10/2023,22,871.92
27/10/2023,23,872.28
27/10/2023,24,872.28
28/10/2023,1,872.28
28/10/2023,2,872.28
28/10/2023,3,872.28
28/10/2023,4,871.92
28/10/2023,5,872.28
28/10/2023,6,871.56
28/10/2023,7,871.56
28/10/2023,8,870.48
28/10/2023,9,871.2
28/10/2023,10,871.92
28/10/2023,11,871.92
28/10/2023,12,872.64
28/10/2023,13,872.28
28/10/2023,14,871.56
28/10/2023,15,871.56
28/10/2023,16,871.2
28/10/2023,17,870.48
28/10/2023,18,873.36
28/10/2023,19,871.92
28/10/2023,20,873.72
28/10/2023,21,872.64
28/10/2023,22,873.36
28/10/2023,23,872.28
28/10/2023,24,873
29/10/2023,1,873
29/10/2023,2,872.28
29/10/2023,3,871.2
29/10/2023,4,870.48
29/10/2023,5,871.56
29/10/2023,6,872.28
29/10/2023,7,870.84
29/10/2023,8,871.2
29/10/2023,9,870.84
29/10/2023,10,870.84
29/10/2023,11,870.48
29/10/2023,12,869.76
29/10/2023,13,870.48
29/10/2023,14,870.84
29/10/2023,15,870.12
29/10/2023,16,869.76
29/10/2023,17,870.48
29/10/2023,18,870.84
29/10/2023,19,871.92
29/10/2023,20,871.56
29/10/2023,21,871.56
29/10/2023,22,871.92
29/10/2023,23,871.92
29/10/2023,24,871.92
30/10/2023,1,872.28
30/10/2023,2,872.28
30/10/2023,3,873
30/10/2023,4,873
30/10/2023,5,871.92
