Data,Hora,Ativa C (kWh)
20/08/2024,17,"936,36"
20/08/2024,18,"938,52"
20/08/2024,19,"938,88"
20/08/2024,20,"938,52"
20/08/2024,21,"938,52"
20/08/2024,22,"938,52"
20/08/2024,23,"939,24"
20/08/2024,24,"939,6"
21/08/2024,1,"939,24"
21/08/2024,2,"939,24"
21/08/2024,3,"938,16"
21/08/2024,4,"938,16"
21/08/2024,5,"937,8"
21/08/2024,6,"936,72"
21/08/2024,7,"938,16"
21/08/2024,8,"938,16"
21/08/2024,9,"937,44"
21/08/2024,10,"937,8"
21/08/2024,11,"937,44"
21/08/2024,12,"937,08"
21/08/2024,13,"936,72"
21/08/2024,14,"936,36"
21/08/2024,15,"936,36"
21/08/2024,16,"937,08"
21/08/2024,17,"937,08"
21/08/2024,18,"937,44"
21/08/2024,19,"937,8"
21/08/2024,20,"937,44"
21/08/2024,21,"937,44"
21/08/2024,22,"937,44"
21/08/2024,23,"937,44"
21/08/2024,24,"937,44"
22/08/2024,1,"937,44"
22/08/2024,2,"937,08"
22/08/2024,3,"936,72"
22/08/2024,4,"937,08"
22/08/2024,5,"937,44"
22/08/2024,6,"936,36"
22/08/2024,7,"937,44"
22/08/2024,8,"937,08"
22/08/2024,9,"937,44"
22/08/2024,10,"937,08"
22/08/2024,11,"937,44"
22/08/2024,12,"938,16"
22/08/2024,13,"937,44"
22/08/2024,14,"937,44"
22/08/2024,15,"937,44"
22/08/2024,16,"937,44"
22/08/2024,17,"937,8"
22/08/2024,18,"939,24"
22/08/2024,19,"938,16"
22/08/2024,20,"938,52"
22/08/2024,21,"937,8"
22/08/2024,22,"937,8"
22/08/2024,23,"938,88"
22/08/2024,24,"938,88"
23/08/2024,1,"938,16"
23/08/2024,2,"938,52"
23/08/2024,3,"937,8"
23/08/2024,4,"938,52"
23/08/2024,5,"938,16"
23/08/2024,6,"937,8"
23/08/2024,7,"937,8"
23/08/2024,8,"939,24"
23/08/2024,9,"937,44"
23/08/2024,10,"937,44"
23/08/2024,11,"937,44"
23/08/2024,12,"937,08"
23/08/2024,13,"937,44"
