validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
MLP_seq,8832.867,234625837.135,15317.501,0.14,6.67,36.67,60.0,6.07,9.56,10.97,6.07,13.06,13.78
MLP_seq,7708.313,211424351.451,14540.438,0.13,16.67,53.33,63.33,1.61,4.74,7.23,1.61,7.91,12.05
MLP_seq,8230.264,218205098.316,14771.767,0.13,23.33,33.33,66.67,6.11,9.49,10.69,6.11,12.88,13.09
MLP_seq,7891.604,211885400.855,14556.284,0.13,16.67,46.67,63.33,4.58,7.31,8.62,4.58,10.09,11.26
MLP_seq,7684.408,207893963.637,14418.528,0.13,20.0,40.0,70.0,5.52,8.39,9.93,5.52,11.3,12.98
MLP_seq,7373.277,193688592.15,13917.205,0.12,16.67,36.67,70.0,2.28,4.9,6.29,2.28,7.58,9.07
MLP_seq,7461.103,190540644.616,13803.646,0.13,16.67,43.33,56.67,1.84,4.45,5.53,1.84,7.12,7.7
MLP_seq,8424.784,220959293.873,14864.7,0.14,13.33,33.33,70.0,6.39,9.26,10.71,6.39,12.18,13.6
MLP_seq,8623.571,241558033.265,15542.137,0.14,26.67,40.0,56.67,7.03,10.43,12.1,7.03,13.84,15.41
MLP_seq,7887.146,186486517.113,13656.007,0.13,13.33,23.33,60.0,3.66,7.11,8.36,3.66,10.57,10.85
MLP_seq,8143.917,204265622.365,14292.152,0.14,10.0,23.33,70.0,3.51,6.24,7.76,3.51,9.02,10.79
MLP_seq,7918.824,211779223.211,14552.636,0.13,20.0,33.33,70.0,5.24,8.73,10.64,5.24,12.21,14.4
MLP_seq,8617.818,232636366.263,15252.422,0.14,10.0,33.33,66.67,6.09,8.64,10.49,6.09,11.24,14.14
MLP_seq,8370.483,219287078.237,14808.345,0.14,10.0,40.0,63.33,5.08,7.92,9.97,5.08,10.8,13.98
MLP_seq,7487.434,190485486.613,13801.648,0.13,10.0,40.0,70.0,2.66,6.06,7.34,2.66,9.49,9.91
MLP_seq,8068.328,213145901.611,14599.517,0.13,13.33,43.33,63.33,4.92,7.92,9.49,4.92,10.96,12.6
MLP_seq,7561.148,174246681.985,13200.253,0.13,6.67,36.67,60.0,3.11,2.2,3.99,3.11,7.35,7.54
MLP_seq,7667.05,201578669.926,14197.84,0.13,13.33,43.33,60.0,2.86,6.5,8.04,2.86,10.13,11.1
MLP_seq,7668.045,198968515.551,14105.62,0.13,6.67,43.33,63.33,2.85,6.12,7.58,2.85,9.41,10.49
MLP_seq,7756.785,198810297.112,14100.011,0.13,10.0,40.0,70.0,3.81,6.56,8.11,3.81,9.35,11.2
MLP_seq,7156.001,202144579.516,14217.756,0.12,30.0,43.33,76.67,5.54,8.02,9.53,5.54,10.55,12.54
MLP_seq,7375.255,193680436.964,13916.912,0.12,20.0,40.0,66.67,4.15,7.44,8.28,4.15,10.75,10.0
MLP_seq,8312.304,212721522.764,14584.976,0.14,6.67,26.67,66.67,5.34,7.44,8.59,5.34,9.61,10.89
MLP_seq,7894.883,207906245.257,14418.954,0.13,13.33,36.67,70.0,5.72,8.5,10.13,5.72,11.33,13.36
MLP_seq,9208.793,251513501.455,15859.177,0.15,10.0,26.67,60.0,5.04,8.3,10.71,5.04,11.57,15.38
MLP_seq,7812.135,214287999.6,14638.579,0.13,30.0,43.33,66.67,4.33,7.28,9.66,4.33,10.27,14.26
MLP_seq,7882.718,204259773.38,14291.948,0.13,23.33,36.67,70.0,5.43,7.55,9.33,5.43,9.74,12.85
MLP_seq,8491.593,223983167.393,14966.067,0.14,13.33,33.33,66.67,6.34,9.03,10.83,6.34,11.77,14.38
MLP_seq,8305.75,208242983.512,14430.627,0.14,10.0,36.67,66.67,4.84,7.79,9.69,4.84,10.78,13.42
MLP_seq,7523.006,196835488.285,14029.807,0.13,20.0,40.0,73.33,4.04,7.58,8.92,4.04,11.13,11.58
MLP_seq,8110.073,212118365.687,14564.284,0.13,13.33,36.67,66.67,5.17,8.4,9.96,5.17,11.66,13.06
MLP_seq,8458.925,215543095.674,14681.386,0.14,13.33,26.67,56.67,2.71,5.31,8.0,2.71,7.98,13.16
MLP_seq,7329.784,197908512.095,14067.996,0.12,26.67,46.67,66.67,1.97,5.58,7.28,1.97,9.18,10.65
MLP_seq,7677.238,201284688.24,14187.484,0.13,10.0,40.0,63.33,2.36,5.9,7.52,2.36,9.46,10.72
MLP_seq,7721.62,204966980.193,14316.668,0.13,13.33,43.33,66.67,3.41,6.97,8.64,3.41,10.53,11.97
MLP_seq,7156.225,192095170.822,13859.84,0.12,16.67,43.33,73.33,4.31,7.0,8.5,4.31,9.75,11.48
MLP_seq,7271.165,191092539.494,13823.623,0.12,23.33,40.0,73.33,4.28,7.4,8.25,4.28,10.56,9.97
MLP_seq,7960.362,206265761.293,14361.955,0.13,10.0,36.67,66.67,3.25,6.45,7.93,3.25,9.68,10.89
MLP_seq,7765.393,201043030.144,14178.964,0.13,20.0,36.67,63.33,4.55,6.58,8.46,4.55,8.69,12.16
MLP_seq,9126.218,231665201.788,15220.552,0.15,20.0,33.33,50.0,6.42,8.86,11.58,6.42,11.35,16.79
MLP_seq,7575.556,200590062.828,14162.982,0.13,16.67,40.0,70.0,3.08,6.25,8.34,3.08,9.45,12.42
MLP_seq,7814.086,209840979.882,14485.889,0.13,16.67,43.33,70.0,5.94,8.69,10.28,5.94,11.5,13.42
MLP_seq,8176.037,215652984.28,14685.128,0.13,13.33,40.0,63.33,5.59,8.39,10.54,5.59,11.24,14.74
MLP_seq,8269.31,210539273.638,14509.972,0.14,13.33,36.67,60.0,4.53,7.37,9.32,4.53,10.25,13.14
MLP_seq,7471.046,191245006.355,13829.136,0.13,16.67,36.67,66.67,3.17,6.59,7.84,3.17,10.03,10.36
MLP_seq,8338.464,209884413.737,14487.388,0.14,6.67,30.0,60.0,4.53,7.75,9.14,4.53,10.98,11.94
MLP_seq,8482.742,214603574.362,14649.354,0.14,3.33,36.67,63.33,4.28,6.21,8.82,4.28,8.21,13.84
MLP_seq,7600.398,200915453.773,14174.465,0.13,13.33,46.67,63.33,3.17,6.74,8.03,3.17,10.31,10.63
MLP_seq,7763.721,202459680.919,14228.833,0.13,6.67,46.67,60.0,2.81,6.24,7.67,2.81,9.68,10.55
MLP_seq,7816.418,205323549.536,14329.115,0.13,13.33,36.67,63.33,3.52,6.52,8.13,3.52,9.56,11.31
MLP_seq,7319.182,194214300.557,13936.079,0.12,13.33,43.33,73.33,4.56,7.14,8.19,4.56,9.78,10.32
MLP_seq,7476.994,193445306.699,13908.462,0.13,13.33,40.0,70.0,3.66,7.13,8.02,3.66,10.62,9.81
MLP_seq,8081.945,201922729.698,14209.952,0.14,6.67,36.67,66.67,3.73,6.96,8.12,3.73,10.22,10.46
MLP_seq,8170.053,205917168.502,14349.814,0.14,6.67,30.0,63.33,4.24,6.98,8.92,4.24,9.77,12.73
MLP_seq,9064.136,220127935.094,14836.709,0.15,13.33,26.67,53.33,6.07,8.79,10.72,6.07,11.57,14.51
MLP_seq,8316.855,214281103.294,14638.344,0.14,26.67,36.67,60.0,3.55,6.53,8.81,3.55,9.55,13.25
MLP_seq,7962.03,216268340.952,14706.065,0.13,23.33,46.67,70.0,6.3,8.98,10.83,6.3,11.71,14.47
MLP_seq,8816.307,234553260.053,15315.132,0.14,13.33,33.33,60.0,5.94,9.1,10.84,5.94,12.3,14.27
MLP_seq,8115.244,199389589.199,14120.538,0.14,10.0,26.67,66.67,3.42,6.48,8.44,3.42,9.58,12.29
MLP_seq,7305.872,194830880.757,13958.183,0.12,23.33,43.33,73.33,2.7,6.67,8.08,2.7,10.61,10.91
MLP_seq,8260.82,210335589.182,14502.951,0.14,6.67,33.33,70.0,5.23,7.86,9.33,5.23,10.54,12.28
MLP_seq,8577.791,215860497.71,14692.192,0.14,13.33,26.67,63.33,3.54,5.75,8.68,3.54,8.03,14.25
MLP_seq,7429.645,199081127.643,14109.611,0.12,20.0,46.67,66.67,2.56,6.56,8.09,2.56,10.53,11.15
MLP_seq,7951.958,205266743.224,14327.133,0.13,13.33,33.33,66.67,4.19,7.74,8.82,4.19,11.29,11.01
MLP_seq,7632.308,202845079.835,14242.369,0.13,13.33,43.33,70.0,3.23,6.49,8.41,3.23,9.77,12.19
MLP_seq,7041.272,190223452.594,13792.152,0.12,30.0,46.67,76.67,4.33,7.43,8.59,4.33,10.56,10.94
MLP_seq,7270.257,195779991.688,13992.14,0.12,20.0,46.67,73.33,2.7,6.11,7.78,2.7,9.53,11.09
MLP_seq,8124.425,207672981.164,14410.863,0.13,6.67,40.0,63.33,5.05,7.59,8.96,5.05,10.18,11.71
MLP_seq,8239.677,201052256.72,14179.29,0.14,16.67,26.67,56.67,4.64,6.81,8.59,4.64,9.05,12.1
MLP_seq,8053.577,201941914.927,14210.627,0.14,20.0,33.33,60.0,2.14,5.17,7.5,2.14,8.23,12.04
MLP_seq,8206.506,202842686.736,14242.285,0.14,16.67,36.67,63.33,4.11,5.19,7.98,4.11,6.34,13.32
MLP_seq,7743.976,202331159.847,14224.316,0.13,20.0,43.33,66.67,4.57,6.76,8.62,4.57,9.02,12.28
MLP_seq,9095.04,232616388.401,15251.767,0.15,10.0,30.0,53.33,3.7,6.58,8.5,3.7,9.51,12.28
MLP_seq,8334.255,192334429.906,13868.469,0.14,16.67,33.33,60.0,2.49,5.77,7.94,2.49,9.07,12.18
MLP_seq,7602.698,202576828.711,14232.949,0.13,13.33,40.0,73.33,3.33,7.06,8.38,3.33,10.78,11.04
MLP_seq,8512.68,209191657.785,14463.459,0.14,16.67,30.0,63.33,4.59,7.53,9.19,4.59,10.52,12.47
MLP_seq,9041.401,235071876.634,15332.054,0.15,16.67,30.0,50.0,2.56,5.46,8.62,2.56,8.41,14.6
MLP_seq,7549.179,196502090.923,14017.92,0.13,20.0,46.67,66.67,2.9,6.42,7.87,2.9,9.94,10.78
MLP_seq,8026.946,207979827.526,14421.506,0.13,16.67,33.33,63.33,2.95,6.76,8.17,2.95,10.57,10.97
MLP_seq,7623.249,191520350.18,13839.088,0.13,6.67,40.0,70.0,3.16,5.92,7.4,3.16,8.74,10.35
MLP_seq,7080.715,186245682.645,13647.186,0.12,23.33,53.33,70.0,3.7,6.45,8.34,3.7,9.25,12.06
MLP_seq,7558.596,190907661.942,13816.934,0.13,10.0,43.33,70.0,3.55,6.73,8.57,3.55,9.94,12.2
